Uniprot id,Gene,Pep Count,log2_fc,q-value
Q99677,LPAR4,2,-0.952,0.000071
P29074,PTPN4,2,-0.957,0.000097
O75116,ROCK2,40,-0.958,0.000114
Q93052,LPP,8,-0.959,0.000222
Q9UBT7,CTNNAL1,18,-0.965,0.000865
O43813,LANCL1,4,-0.969,0.000209
Q9UN74,PCDHA4,3,-0.969,0.042563
Q9H3Q1,CDC42EP4,7,-0.971,0.000113
Q96RF0,SNX18,7,-0.972,0.000336
Q00587,CDC42EP1,5,-0.974,0.000922
Q5ZPR3,CD276,11,-0.974,0.00024
O43150,ASAP2,6,-0.976,0.000094
Q8N608,DPP10,9,-0.976,0.000062
Q13158,FADD,3,-0.979,0.000526
P35052,GPC1,13,-0.982,0.375602
Q9Y4H2,IRS2,6,-0.983,0.000968
Q5TCQ9,MAGI3,3,-0.984,0.00032
Q8NF37,LPCAT1,14,-0.986,0.000239
Q9Y5V3,MAGED1,10,-0.988,0.002242
Q6PJF5,RHBDF2,9,-0.996,0.00005
Q8WXG9,ADGRV1,21,-1.001,0.003284
P07947,YES1,13,-1.005,0.000111
P10253,GAA,9,-1.009,0.000106
O96019,ACTL6A,6,-1.01,0.000121
Q15223,NECTIN1,24,-1.01,0.000744
Q96FE5,LINGO1,12,-1.011,0.008191
O00186,STXBP3,23,-1.012,0.000344
Q99497,PARK7,11,-1.012,0.000129
Q8IXQ5,KLHL7,2,-1.019,0.000119
Q04760,GLO1,3,-1.02,0.003748
Q9H9A6,LRRC40,16,-1.023,0.000055
Q9Y4C0,NRXN3,2,-1.025,0.003934
O00213,APBB1,3,-1.026,0.000204
P41240,CSK,8,-1.027,0.000074
P22223,CDH3,21,-1.028,0.010624
Q05682,CALD1,17,-1.028,0.000132
Q8N5I2,ARRDC1,3,-1.029,0.000226
Q13574,DGKZ,9,-1.029,0.000031
Q12797,ASPH,16,-1.03,0.00323
P61586,RHOA,3,-1.033,0.000215
Q8N441,FGFRL1,4,-1.033,0.113277
Q9HBA0,TRPV4,4,-1.043,0.00463
Q96NR3,PTCHD1,4,-1.044,0.000095
Q8NHG8,ZNRF2,3,-1.045,0.000358
Q12891,HYAL2,4,-1.046,0.000173
Q86YD1,PTOV1,2,-1.047,0.001035
Q8TEW0,PARD3,25,-1.053,0.00007
Q86W92,PPFIBP1,14,-1.056,0.000069
Q9P273,TENM3,94,-1.056,0.000955
P78352,DLG4,7,-1.059,0.000123
Q8TCT0,CERK,4,-1.063,0.000076
P10909,CLU,8,-1.063,0.000753
O14514,ADGRB1,7,-1.074,0.000031
O94910,ADGRL1,29,-1.076,0.019078
Q9Y6X5,ENPP4,3,-1.083,0.001847
O95057,DIRAS1,2,-1.088,0.000079
Q14832,GRM3,3,-1.089,0.00247
Q8J025,APCDD1,2,-1.093,0.000056
P55287,CDH11,2,-1.094,0.17667
P43007,SLC1A4,10,-1.109,0.002099
Q8N1I0,DOCK4,21,-1.116,0.000025
P63000,RAC1,5,-1.116,0.000043
Q9NX57,RAB20,6,-1.116,0.000114
O43739,CYTH3,2,-1.116,0.000078
P42574,CASP3,2,-1.117,0.000061
Q9H0W5,CCDC8,17,-1.119,0.000099
P54753,EPHB3,10,-1.122,0.000172
P51654,GPC3,16,-1.123,0.231532
P36021,SLC16A2,7,-1.128,0.000063
O14640,DVL1,8,-1.128,0.000149
Q96I99,SUCLG2,7,-1.135,0.000016
Q8IW52,SLITRK4,17,-1.136,0.000145
Q86SQ0,PHLDB2,9,-1.139,0.000081
P32241,VIPR1,4,-1.139,0.000107
Q7Z5N4,SDK1,25,-1.144,0.000031
Q9UPN3,MACF1,47,-1.151,0.000031
Q9Y5Y6,ST14,12,-1.151,0.004331
P11717,IGF2R,51,-1.152,0.000053
O00264,PGRMC1,7,-1.152,0.000068
Q9H223,EHD4,23,-1.161,0.000045
P51828,ADCY7,4,-1.164,0.000099
Q99720,SIGMAR1,3,-1.169,0.000008
P29320,EPHA3,3,-1.178,0.001109
P46821,MAP1B,33,-1.179,0.000024
Q6UWE0,LRSAM1,14,-1.18,0.000047
Q14524,SCN5A,2,-1.186,0.00055
Q9BX79,STRA6,9,-1.188,0.000049
Q99678,GPR20,2,-1.188,0.000057
P04899,GNAI2,8,-1.192,0.000038
P54764,EPHA4,20,-1.194,0.000708
Q9HCG7,GBA2,3,-1.195,0.000023
Q9H8M5,CNNM2,24,-1.202,0.000041
Q9BXS9,SLC26A6,27,-1.206,0.000036
Q99569,PKP4,22,-1.209,0.000132
P62873,GNB1,5,-1.212,0.000038
Q68EM7,ARHGAP17,7,-1.213,0.000085
O60779,SLC19A2,6,-1.223,0.00005
P36897,TGFBR1,14,-1.225,0.000008
P01911,HLA-DRB1,2,-1.239,0.000017
Q31612,HLA-B,2,-1.243,0.000021
Q9BSJ8,ESYT1,30,-1.252,0.000036
Q9BYG5,PARD6B,7,-1.256,0.00002
Q12923,PTPN13,47,-1.257,0.000103
P21579,SYT1,3,-1.258,0.000017
Q9NQX5,NPDC1,3,-1.26,0.001142
Q9HBU6,ETNK1,2,-1.261,0.000005
P17677,GAP43,6,-1.262,0.000017
Q99755,PIP5K1A,14,-1.263,0.000017
Q9ULF5,SLC39A10,25,-1.273,0.053999
Q9Y5E7,PCDHB2,4,-1.274,0.034684
Q9Y5X1,SNX9,9,-1.277,0.000009
Q14699,RFTN1,7,-1.279,0.000122
Q5JWF2,GNAS,15,-1.284,0.00002
Q92556,ELMO1,5,-1.291,0.000011
Q86UF1,TSPAN33,4,-1.293,0.00003
Q9UJU6,DBNL,15,-1.3,0.000006
O75923,DYSF,26,-1.301,0.000182
O95279,KCNK5,4,-1.305,0.000474
